timestamp,screen_index,image_name,choice,left_model_key,right_model_key,left_is_correct,right_is_correct,followup_enqueued,followup_left_model_key,followup_right_model_key,leader_key_after,leader_prob_after,left_inference_ms,right_inference_ms
2026-02-20T17:57:09.692544,1,642846345.jpeg,both_correct,rfdetr-nano,rtdetr-l,1,1,,,,yolov10x,0.040100,281.983,2366.957
2026-02-20T17:57:12.470804,2,642028055.jpeg,left,yolov10x,yolo26n,1,0,yes,yolov10x,yolo11x,yolov10x,0.075300,2243.492,209.830
2026-02-20T17:57:17.587899,3,645077088.jpeg,both_correct,dino15-proxy,yolov10n,1,1,,,,yolov10x,0.073650,2999.571,156.263
2026-02-20T17:57:18.990595,4,644583257.jpg,both_correct,rfdetr-2xlarge,yolo26s,1,1,,,,yolov10x,0.075000,1530.546,310.489
2026-02-20T17:57:20.755487,5,644260794.jpeg,both_correct,yolov10m,yolo26x,1,1,,,,yolov10x,0.076550,635.824,1817.584
2026-02-20T17:57:22.062233,6,643129675.jpg,right,yolo11m,yolov10m,0,1,yes,rfdetr-2xlarge,yolov10m,yolov10x,0.072700,951.482,753.485
2026-02-20T17:57:23.625995,7,642028055.jpeg,both_correct,yolov10x,yolo11x,1,1,,,,yolov10m,0.075250,2098.788,2795.232
2026-02-20T17:57:25.956481,8,642737675.jpeg,both_correct,yolo11n,yolov10l,1,1,,,,yolov10m,0.074300,202.468,1189.653
2026-02-20T17:57:28.074878,9,649249350.jpg,left,rtdetrv2-l,rtdetrv3-r101,1,0,yes,rfdetr-medium,rtdetrv2-l,yolov10x,0.074650,1758.591,3089.429
2026-02-20T17:57:30.836975,10,642615685.jpg,left,yolov10s,rtdetrv2-l,1,0,yes,yolov10s,yolo26s,yolov10m,0.077450,304.165,1545.416
2026-02-20T17:57:31.859544,11,643129675.jpg,both_correct,rfdetr-2xlarge,yolov10m,1,1,,,,yolov10s,0.078850,1880.529,738.678
2026-02-20T17:57:37.433331,12,647576418.jpg,both_correct,yolov10n,dino15-proxy,1,1,,,,yolov10s,0.076750,214.316,2991.019
2026-02-20T17:57:38.874275,13,642065044.jpeg,both_wrong,dino15-proxy,yolov10x,0,0,,,,yolov10s,0.075900,2945.987,940.703
2026-02-20T17:57:39.676341,14,649249350.jpg,both_correct,rfdetr-medium,rtdetrv2-l,1,1,,,,yolov10m,0.076750,790.704,1627.613
2026-02-20T17:57:40.451872,15,642615685.jpg,both_correct,yolov10s,yolo26s,1,1,,,,yolov10x,0.078650,251.313,275.799
2026-02-20T17:57:41.249157,16,642044587.jpg,both_correct,yolo11s,yolo11l,1,1,,,,yolov10s,0.077600,337.378,1091.145
2026-02-20T17:57:43.971948,17,642663919.jpg,both_correct,yolo11s,rtdetrv2-l,1,1,,,,yolov10m,0.077250,532.716,2037.220
2026-02-20T17:57:45.758287,18,644221979.jpg,both_correct,yolo26s,rtdetrv3-r50,1,1,,,,yolov10s,0.076650,303.650,1839.932
2026-02-20T17:57:52.770431,19,644394929.jpg,both_correct,yolo11x,yolo11s,1,1,,,,yolov10x,0.077850,1529.821,346.844
2026-02-20T17:57:53.690521,20,648737539.jpg,both_correct,yolo26n,yolo26m,1,1,,,,yolov10x,0.077300,173.889,641.886
2026-02-20T17:57:54.335824,21,642036862.jpg,both_correct,yolo11l,rtdetrv3-r50,1,1,,,,yolov10x,0.075550,1118.807,1790.549
2026-02-20T17:57:55.733578,22,649453267.jpeg,both_correct,rtdetrv3-r101,yolo26l,1,1,,,,yolov10s,0.076100,2838.284,1065.665
2026-02-20T17:57:59.908406,23,643973850.jpg,right,rfdetr-2xlarge,yolo26x,0,1,yes,yolo26x,yolov10n,yolov10s,0.077650,1643.196,1688.420
2026-02-20T17:58:01.202949,24,649244949.jpeg,both_correct,yolov10n,rtdetr-l,1,1,,,,yolov10x,0.079250,117.976,1587.985
2026-02-20T17:58:02.310667,25,647562205.jpg,both_correct,rtdetrv2-l,yolo26s,1,1,,,,yolov10s,0.076800,1660.204,424.123
2026-02-20T17:58:05.304849,26,644240784.jpg,both_wrong,rtdetrv3-r18,yolo11m,0,0,,,,yolo26x,0.078400,1984.723,526.957
2026-02-20T17:58:06.577356,27,647911606.jpg,left,rfdetr-medium,yolo26s,1,0,yes,yolov10n,rfdetr-medium,yolo26x,0.077800,722.773,293.720
2026-02-20T17:58:07.685012,28,643973850.jpg,both_correct,yolo26x,yolov10n,1,1,,,,yolov10m,0.078650,1570.305,160.815
