rank,model_key,model_name,wins,losses,ties,votes,win_rate,correct,judged,correct_rate,posterior_best_prob
1,yolo11m,YOLO11 m,7.000,0.000,17,7.000,1.000000,22,24,0.916667,0.319600
2,rtdetrv2-l,RT-DETRv2 L,4.000,0.000,15,4.000,1.000000,17,19,0.894737,0.205700
3,rfdetr-2xlarge,RF-DETR 2x-large,4.000,0.000,11,4.000,1.000000,15,15,1.000000,0.202150
4,yolov10n,YOLOv10 n,1.000,0.000,16,1.000,1.000000,14,17,0.823529,0.081500
5,yolo26m,YOLO26 m,6.000,1.000,11,7.000,0.857143,16,18,0.888889,0.059300
6,yolov10l,YOLOv10 l,5.000,1.000,13,6.000,0.833333,17,19,0.894737,0.045450
7,rtdetrv3-r18,RT-DETRv3 R18,3.000,1.000,11,4.000,0.750000,13,15,0.866667,0.024150
8,yolov10m,YOLOv10 m,3.000,1.000,13,4.000,0.750000,16,17,0.941176,0.021400
9,rtdetrv3-r50,RT-DETRv3 R50,2.000,1.000,6,3.000,0.666667,8,9,0.888889,0.014600
10,yolo11l,YOLO11 l,1.000,1.000,14,2.000,0.500000,14,16,0.875000,0.007550
11,yolo11s,YOLO11 s,3.000,2.000,11,5.000,0.600000,14,16,0.875000,0.004300
12,yolo26x,YOLO26 x,3.000,2.000,20,5.000,0.600000,20,25,0.800000,0.003900
13,yolov10x,YOLOv10 x,3.000,2.000,18,5.000,0.600000,20,23,0.869565,0.003600
14,rtdetr-l,RT-DETR HGNetv2-L,0.000,1.000,11,1.000,0.000000,10,12,0.833333,0.002650
15,rfdetr-nano,RF-DETR nano,2.000,2.000,10,4.000,0.500000,11,14,0.785714,0.002250
16,yolo26n,YOLO26 n,3.000,3.000,6,6.000,0.500000,9,12,0.750000,0.000700
17,rfdetr-small,RF-DETR small,5.000,4.000,9,9.000,0.555556,14,18,0.777778,0.000400
18,yolo11x,YOLO11 x,0.000,2.000,6,2.000,0.000000,5,8,0.625000,0.000250
19,yolo26l,YOLO26 l,0.000,2.000,8,2.000,0.000000,8,10,0.800000,0.000200
20,yolov10s,YOLOv10 s,1.000,3.000,10,4.000,0.250000,11,14,0.785714,0.000150
21,yolo11n,YOLO11 n,3.000,4.000,8,7.000,0.428571,10,15,0.666667,0.000100
22,rtdetrv2-x,RT-DETRv2 X,2.000,4.000,11,6.000,0.333333,9,17,0.529412,0.000050
23,rfdetr-medium,RF-DETR medium,0.000,3.000,15,3.000,0.000000,12,18,0.666667,0.000050
24,yolo26s,YOLO26 s,3.000,6.000,10,9.000,0.333333,13,19,0.684211,0.000000
25,rtdetrv3-r101,RT-DETRv3 R101,1.000,7.000,6,8.000,0.125000,6,14,0.428571,0.000000
26,rtdetr-x,RT-DETR HGNetv2-X,0.000,4.000,5,4.000,0.000000,3,9,0.333333,0.000000
27,dino15-proxy,DINO 1.5 Pro proxy,0.000,8.000,1,8.000,0.000000,0,9,0.000000,0.000000
