timestamp,screen_index,image_name,choice,left_model_key,right_model_key,left_is_correct,right_is_correct,followup_enqueued,followup_left_model_key,followup_right_model_key,leader_key_after,leader_prob_after,left_inference_ms,right_inference_ms
2026-02-20T15:24:53.988532,40,641876287.jpg,both_wrong,yolo11l,dino15-proxy,0,0,,,,yolo26m,0.110850,759.044,0.000
2026-02-20T15:24:55.344066,41,641860842.jpg,both_correct,rtdetrv3-r18,rtdetrv3-r101,1,1,,,,yolov10m,0.109300,2722.457,4936.341
2026-02-20T15:25:02.679289,42,641854545.jpg,both_correct,rtdetrv2-l,yolov10x,1,1,,,,rtdetrv2-l,0.112100,3729.430,4206.126
2026-02-20T15:25:06.871057,43,641859715.jpg,both_wrong,yolo26m,yolo26x,0,0,,,,rfdetr-small,0.112550,1331.028,3034.061
2026-02-20T15:25:15.614260,44,641893704.jpg,both_correct,yolo11l,yolo11m,1,1,,,,rfdetr-small,0.108750,3737.011,1261.850
2026-02-20T15:25:20.448794,45,641876557.jpg,both_correct,rfdetr-medium,yolo11s,1,1,,,,yolov10m,0.108650,2346.597,708.218
2026-02-20T15:25:21.882462,46,641858666.jpeg,both_correct,rfdetr-nano,yolov10s,1,1,,,,rfdetr-2xlarge,0.113600,717.789,641.568
2026-02-20T15:25:23.349928,47,641860022.jpeg,both_correct,yolo11s,yolov10x,1,1,,,,rfdetr-2xlarge,0.110900,285.115,1763.164
2026-02-20T15:25:24.445515,48,641876288.jpg,both_wrong,yolo26x,rfdetr-medium,0,0,,,,rfdetr-small,0.111450,1016.239,161.671
2026-02-20T15:25:32.818010,49,641869094.jpeg,left,yolo11m,rtdetrv2-x,1,0,yes,yolo11m,yolov10l,yolo26m,0.106700,534.605,10145.116
2026-02-20T15:25:40.247164,50,641881753.jpeg,right,yolov10s,yolo11n,0,1,yes,yolo11n,yolov10n,yolov10m,0.107400,1159.435,642.017
2026-02-20T15:25:44.445983,51,641878202.jpg,right,rtdetr-l,yolov10s,0,1,yes,rfdetr-nano,yolov10s,rfdetr-2xlarge,0.110000,2724.314,852.624
2026-02-20T15:25:47.539907,52,641883946.jpg,right,dino15-proxy,yolo26x,0,1,yes,yolo26n,yolo26x,rfdetr-2xlarge,0.107100,0.000,1948.437
2026-02-20T15:25:49.086065,53,641864582.jpeg,both_correct,yolov10s,yolov10n,1,1,,,,yolo26m,0.108700,540.912,665.527
2026-02-20T15:25:55.509629,54,641869094.jpeg,both_correct,yolo11m,yolov10l,1,1,,,,rfdetr-2xlarge,0.104300,620.373,4608.256
2026-02-20T15:26:03.787187,55,641881753.jpeg,both_correct,yolo11n,yolov10n,1,1,,,,rfdetr-2xlarge,0.104900,261.064,533.958
2026-02-20T15:26:05.364756,56,641878202.jpg,both_correct,rfdetr-nano,yolov10s,1,1,,,,rtdetrv2-l,0.107500,587.445,415.627
2026-02-20T15:26:06.852690,57,641883946.jpg,both_correct,yolo26n,yolo26x,1,1,,,,yolo26m,0.105100,499.326,1503.852
2026-02-20T15:26:10.161416,58,641895786.jpeg,both_correct,yolov10n,rtdetr-l,1,1,,,,rfdetr-small,0.107050,224.107,1891.874
2026-02-20T15:26:14.796652,59,641882108.jpg,both_correct,rtdetrv3-r50,rtdetrv2-l,1,1,,,,yolo26m,0.106750,2449.803,2427.307
2026-02-20T15:26:15.799711,60,641895166.jpg,both_correct,rfdetr-medium,yolo26x,1,1,,,,rtdetrv2-l,0.107100,1078.443,1852.525
2026-02-20T15:26:16.832689,61,641866439.jpeg,both_correct,yolov10l,rfdetr-2xlarge,1,1,,,,yolo26m,0.108050,1250.989,3032.017
2026-02-20T15:26:19.789832,62,641876569.jpg,both_correct,yolov10m,rtdetr-l,1,1,,,,rfdetr-2xlarge,0.105950,5335.076,2023.678
2026-02-20T15:26:21.220179,63,641831510.jpg,right,yolov10s,rfdetr-nano,0,1,yes,yolo11l,rfdetr-nano,rtdetrv2-l,0.102100,389.180,226.409
2026-02-20T15:26:26.305008,64,641923761.jpeg,right,yolo26x,rtdetrv3-r18,0,1,yes,rtdetrv3-r18,rfdetr-medium,yolo26m,0.105250,1820.596,3684.805
2026-02-20T15:26:35.209247,65,641848584.jpg,both_wrong,rtdetrv2-x,rfdetr-nano,0,0,,,,rfdetr-small,0.105100,7463.911,239.477
2026-02-20T15:26:36.863636,66,641885782.jpeg,right,yolo26n,yolo26s,0,1,yes,rtdetrv2-l,yolo26s,rtdetrv2-l,0.106150,169.269,1209.127
2026-02-20T15:26:39.816318,67,641874830.jpg,left,rfdetr-nano,yolov10x,1,0,yes,yolov10m,rfdetr-nano,yolo26m,0.107050,347.533,3427.384
2026-02-20T15:26:41.375025,68,641831510.jpg,both_correct,yolo11l,rfdetr-nano,1,1,,,,rfdetr-nano,0.105900,1500.786,590.000
2026-02-20T15:26:44.490447,69,641923761.jpeg,left,rtdetrv3-r18,rfdetr-medium,1,0,depth_limit,,,yolov10m,0.105350,1774.890,1521.674
2026-02-20T15:26:49.602444,70,641923762.jpeg,both_correct,yolo11l,yolov10s,1,1,,,,rfdetr-small,0.106450,889.031,443.434
2026-02-20T15:26:50.894841,71,641885782.jpeg,both_correct,rtdetrv2-l,yolo26s,1,1,,,,rtdetrv3-r18,0.106700,2822.682,402.931
2026-02-20T15:26:52.849001,72,641874830.jpg,both_correct,yolov10m,rfdetr-nano,1,1,,,,yolov10m,0.107100,844.697,198.773
2026-02-20T15:27:01.664974,73,641895894.jpg,both_correct,yolo26l,rfdetr-medium,1,1,,,,rtdetrv3-r18,0.104950,1367.730,509.965
2026-02-20T15:27:04.729125,74,641895787.jpeg,both_correct,rtdetrv3-r18,rtdetrv3-r50,1,1,,,,rfdetr-nano,0.105600,2392.902,3824.108
2026-02-20T15:27:06.027760,75,641874829.jpg,both_correct,yolov10l,yolov10n,1,1,,,,yolov10m,0.103850,1842.713,301.625
2026-02-20T15:27:09.953290,76,641855268.jpeg,both_wrong,yolo26x,yolo11m,0,0,,,,rfdetr-nano,0.105450,1590.833,1304.667
2026-02-20T15:27:11.660475,77,641895893.jpg,both_correct,yolov10l,rfdetr-medium,1,1,,,,rfdetr-nano,0.105500,872.316,720.060
2026-02-20T15:27:12.937465,78,641857216.jpeg,both_correct,yolo11s,yolo11l,1,1,,,,rfdetr-nano,0.105000,1834.387,941.866
2026-02-20T15:27:14.289703,79,641879143.jpg,both_correct,rfdetr-small,yolov10x,1,1,,,,yolo26m,0.107250,1349.805,1765.993
2026-02-20T15:29:34.682185,80,641834454.jpg,right,rtdetr-x,yolov10m,0,1,yes,rfdetr-2xlarge,yolov10m,yolov10m,0.130900,11069.515,3138.530
2026-02-20T15:29:41.887054,81,641876062.jpg,both_correct,yolov10x,yolov10l,1,1,,,,yolov10m,0.134950,1984.026,1353.068
2026-02-20T15:29:43.945659,82,641848646.jpg,both_correct,yolov10x,rfdetr-medium,1,1,,,,yolov10m,0.129400,1702.927,637.584
2026-02-20T15:29:51.176430,83,641843148.jpg,right,dino15-proxy,yolov10x,0,1,yes,yolov10x,yolo11l,yolov10m,0.133200,0.000,1226.047
2026-02-20T15:29:54.762743,84,641915263.jpg,both_correct,yolo26m,yolo26x,1,1,,,,yolov10m,0.131550,4092.514,5531.036
2026-02-20T15:29:56.275212,85,641834454.jpg,both_correct,rfdetr-2xlarge,yolov10m,1,1,,,,yolov10m,0.130300,2948.396,1333.220
2026-02-20T15:29:57.836266,86,641886992.jpeg,right,rtdetrv3-r101,yolov10l,0,1,yes,yolo11x,yolov10l,yolov10m,0.134400,4309.659,1550.760
2026-02-20T15:30:00.286650,87,641869962.jpg,right,yolo26s,yolo26m,0,1,yes,yolo26m,yolo26l,yolov10m,0.126800,564.071,1249.358
2026-02-20T15:30:07.539375,88,641843148.jpg,both_correct,yolov10x,yolo11l,1,1,,,,yolo26m,0.127750,3050.970,1434.566
2026-02-20T15:30:09.070952,89,641860609.jpg,right,yolo26s,yolo11m,0,1,yes,yolo11n,yolo11m,yolov10m,0.126000,191.371,940.977
2026-02-20T15:30:14.218849,90,641867712.jpg,both_wrong,rtdetrv3-r101,rtdetrv2-l,0,0,,,,yolov10m,0.125900,2203.597,2493.963
2026-02-20T15:30:15.309966,91,641886992.jpeg,both_correct,yolo11x,yolov10l,1,1,,,,yolov10m,0.127950,2131.344,736.568
2026-02-20T15:30:16.770156,92,641869962.jpg,both_correct,yolo26m,yolo26l,1,1,,,,yolo26m,0.119700,493.695,1612.853
2026-02-20T15:30:19.699374,93,641876069.jpg,left,yolo26s,yolo11x,1,0,yes,yolo26s,yolo11m,yolov10m,0.121500,349.835,1027.643
2026-02-20T15:30:20.909235,94,641860609.jpg,both_correct,yolo11n,yolo11m,1,1,,,,yolo26m,0.123450,230.358,429.521
2026-02-20T15:30:22.024984,95,641883495.jpg,both_correct,yolo11n,yolov10l,1,1,,,,yolo26m,0.121400,135.745,918.803
2026-02-20T15:30:23.179488,96,641895206.jpg,both_correct,rtdetrv2-l,yolov10l,1,1,,,,yolo26m,0.123900,1109.378,601.058
2026-02-20T15:30:24.452588,97,641858668.jpeg,right,yolo26s,yolo26m,0,1,yes,rtdetrv3-r18,yolo26m,yolo26m,0.145650,309.173,506.096
2026-02-20T15:30:25.730061,98,641876069.jpg,both_correct,yolo26s,yolo11m,1,1,,,,yolo26m,0.147900,293.763,428.151
2026-02-20T15:30:27.400588,99,641869087.jpeg,both_correct,yolov10m,rtdetrv2-x,1,1,,,,yolo26m,0.147700,542.469,4934.650
2026-02-20T15:30:32.182520,100,641877803.jpg,both_correct,yolo26l,rfdetr-small,1,1,,,,yolo26m,0.153000,704.536,592.689
2026-02-20T15:30:35.128877,101,641876231.jpg,both_correct,yolo11m,yolov10m,1,1,,,,yolo26m,0.142450,394.453,420.937
2026-02-20T15:30:36.316524,102,641858668.jpeg,both_correct,rtdetrv3-r18,yolo26m,1,1,,,,yolo26m,0.148650,2434.329,766.417
2026-02-20T15:30:41.265214,103,641910394.jpeg,both_correct,yolo26n,rtdetrv2-l,1,1,,,,yolo26m,0.152200,221.972,1150.464
2026-02-20T15:30:42.362755,104,641893515.jpg,both_correct,rfdetr-nano,yolo11m,1,1,,,,yolo26m,0.147850,298.502,511.822
2026-02-20T15:30:43.684001,105,641854546.jpg,both_correct,yolo26m,rtdetrv3-r18,1,1,,,,yolo26m,0.149350,451.089,1219.638
2026-02-20T15:30:45.803428,106,641848626.jpg,both_wrong,rfdetr-medium,rtdetrv2-l,0,0,,,,yolo26m,0.148600,1152.655,1283.301
2026-02-20T15:30:46.907468,107,641883740.jpg,both_correct,yolo26s,rtdetrv2-l,1,1,,,,yolo26m,0.149300,179.202,977.512
2026-02-20T15:30:47.903845,108,641900799.jpeg,both_correct,yolo26m,yolov10s,1,1,,,,yolo26m,0.148100,534.782,438.175
2026-02-20T15:30:48.752685,109,641914472.jpg,both_correct,rtdetr-l,yolov10x,1,1,,,,yolo26m,0.153350,2087.493,1666.367
2026-02-20T15:30:49.566664,110,641860607.jpg,both_correct,yolov10l,yolov10n,1,1,,,,yolo26m,0.150600,572.018,178.786
2026-02-20T15:30:50.646472,111,641869840.jpg,both_correct,yolov10m,rfdetr-small,1,1,,,,yolo26m,0.143700,659.899,257.997
2026-02-20T15:30:51.995300,112,641878288.jpg,both_correct,yolov10s,yolo26m,1,1,,,,yolo26m,0.149300,216.490,284.422
2026-02-20T15:30:52.728508,113,641899008.jpg,both_correct,rfdetr-medium,rtdetr-l,1,1,,,,yolo26m,0.152150,352.132,1113.682
2026-02-20T15:30:53.781588,114,641865882.jpg,both_correct,yolo11n,yolov10n,1,1,,,,yolo26m,0.144350,178.236,196.631
2026-02-20T15:30:55.120446,115,641854540.jpg,both_correct,yolo26s,rfdetr-2xlarge,1,1,,,,yolo26m,0.148350,369.490,3120.300
2026-02-20T15:30:55.994196,116,641923690.jpg,both_correct,yolo11l,rfdetr-small,1,1,,,,yolo26m,0.144700,1221.069,430.135
2026-02-20T15:31:00.555094,117,641876540.jpg,both_correct,yolo26l,rtdetrv3-r101,1,1,,,,yolo26m,0.148450,676.141,3476.150
