screen_index,image_name,choice,left_model_key,left_model_name,left_is_correct,left_inference_ms,right_model_key,right_model_name,right_is_correct,right_inference_ms,followup_enqueued,followup_left_model_key,followup_right_model_key,leader_key_after,leader_prob_after
171,641866088.jpeg,left,rtdetrv2-l,RT-DETRv2 L,1,1415.229,rfdetr-small,RF-DETR small,0,175.861,depth_limit,,,yolo26m,0.174400
172,641848585.jpg,both_wrong,rtdetrv2-x,RT-DETRv2 X,0,2302.795,yolo11n,YOLO11 n,0,142.023,,,,yolo26m,0.175800
173,641858663.jpeg,both_correct,yolov10m,YOLOv10 m,1,758.531,rtdetr-x,RT-DETR HGNetv2-X,1,3886.828,,,,yolo26m,0.171800
174,641873324.jpg,right,rfdetr-small,RF-DETR small,0,343.310,rtdetrv3-r101,RT-DETRv3 R101,1,3038.941,yes,rtdetr-l,rtdetrv3-r101,yolo26m,0.172200
175,641895478.png,left,rtdetrv3-r50,RT-DETRv3 R50,1,1254.433,dino15-proxy,DINO 1.5 Pro proxy,0,0.000,depth_limit,,,yolo26m,0.175100
176,641866438.jpeg,left,yolov10x,YOLOv10 x,1,2007.509,yolo26m,YOLO26 m,0,551.171,yes,rtdetrv3-r18,yolov10x,rtdetrv2-l,0.165850
177,641848647.jpg,both_correct,yolo26x,YOLO26 x,1,1831.858,yolo11s,YOLO11 s,1,306.927,,,,rfdetr-2xlarge,0.170250
178,641875338.jpeg,both_correct,yolov10x,YOLOv10 x,1,975.095,rtdetrv2-l,RT-DETRv2 L,1,1124.582,,,,rfdetr-2xlarge,0.171800
179,641873324.jpg,both_correct,rtdetr-l,RT-DETR HGNetv2-L,1,1160.537,rtdetrv3-r101,RT-DETRv3 R101,1,2186.019,,,,rfdetr-2xlarge,0.166800
180,641854544.jpg,both_correct,yolo26m,YOLO26 m,1,498.726,rfdetr-medium,RF-DETR medium,1,552.679,,,,rfdetr-2xlarge,0.168550
181,641866438.jpeg,right,rtdetrv3-r18,RT-DETRv3 R18,0,1799.056,yolov10x,YOLOv10 x,1,1055.932,depth_limit,,,rfdetr-2xlarge,0.182050
182,641894518.jpg,both_correct,rtdetrv3-r101,RT-DETRv3 R101,1,2122.701,yolov10x,YOLOv10 x,1,622.086,,,,rfdetr-2xlarge,0.181150
183,641879134.jpg,left,yolo11n,YOLO11 n,1,109.522,rtdetrv3-r101,RT-DETRv3 R101,0,1884.193,yes,yolo11n,rtdetrv2-l,rtdetrv2-l,0.183200
184,641840317.jpeg,both_correct,rtdetr-l,RT-DETR HGNetv2-L,1,1036.949,rtdetrv2-l,RT-DETRv2 L,1,1047.164,,,,yolo11m,0.184450
185,641863195.jpg,both_correct,yolo26x,YOLO26 x,1,1068.382,rfdetr-2xlarge,RF-DETR 2x-large,1,971.270,,,,yolo11m,0.180300
186,641870190.jpeg,both_correct,yolo11s,YOLO11 s,1,166.602,rfdetr-nano,RF-DETR nano,1,165.461,,,,rtdetrv2-l,0.180300
187,641873139.jpg,both_correct,yolo26x,YOLO26 x,1,938.505,rfdetr-nano,RF-DETR nano,1,152.226,,,,yolo11m,0.182150
188,641879134.jpg,both_correct,yolo11n,YOLO11 n,1,183.919,rtdetrv2-l,RT-DETRv2 L,1,1185.386,,,,yolo11m,0.183650
189,641854103.jpg,left,yolo11m,YOLO11 m,1,455.847,yolov10l,YOLOv10 l,0,691.069,yes,yolo11m,rtdetrv3-r18,yolo11m,0.232700
190,641876061.jpg,both_correct,yolo11n,YOLO11 n,1,160.792,yolo11l,YOLO11 l,1,650.377,,,,yolo11m,0.231000
191,641923535.jpg,right,rtdetrv2-x,RT-DETRv2 X,0,2163.255,yolo11m,YOLO11 m,1,399.507,yes,yolov10x,yolo11m,yolo11m,0.261550
192,641923759.jpeg,both_correct,yolo11m,YOLO11 m,1,505.060,rfdetr-medium,RF-DETR medium,1,421.894,,,,yolo11m,0.265850
193,641870188.jpeg,left,rfdetr-small,RF-DETR small,1,163.567,rtdetrv3-r101,RT-DETRv3 R101,0,2053.614,yes,yolov10l,rfdetr-small,yolo11m,0.265050
194,641854103.jpg,both_correct,yolo11m,YOLO11 m,1,423.678,rtdetrv3-r18,RT-DETRv3 R18,1,1332.062,,,,yolo11m,0.264100
195,641923743.jpg,right,yolov10m,YOLOv10 m,0,474.955,yolo26x,YOLO26 x,1,825.024,yes,yolo26x,rtdetrv3-r18,yolo11m,0.294500
196,641923535.jpg,both_correct,yolov10x,YOLOv10 x,1,750.346,yolo11m,YOLO11 m,1,349.187,,,,yolo11m,0.297350
197,641855327.jpg,both_wrong,rtdetr-x,RT-DETR HGNetv2-X,0,2118.137,yolov10n,YOLOv10 n,0,161.642,,,,yolo11m,0.301600
198,641870188.jpeg,both_correct,yolov10l,YOLOv10 l,1,682.816,rfdetr-small,RF-DETR small,1,170.721,,,,yolo11m,0.297750
199,641899152.jpg,both_correct,rtdetr-l,RT-DETR HGNetv2-L,1,1093.292,yolo11m,YOLO11 m,1,342.382,,,,yolo11m,0.298650
200,641923743.jpg,right,yolo26x,YOLO26 x,0,936.267,rtdetrv3-r18,RT-DETRv3 R18,1,1095.192,depth_limit,,,yolo11m,0.302900
201,641870189.jpeg,both_correct,rtdetrv3-r18,RT-DETRv3 R18,1,986.004,yolov10m,YOLOv10 m,1,379.002,,,,yolo11m,0.305950
202,641923702.jpg,right,rfdetr-small,RF-DETR small,0,225.307,yolov10l,YOLOv10 l,1,718.774,yes,yolov10l,dino15-proxy,yolo11m,0.303650
203,641855433.jpeg,both_correct,yolo11s,YOLO11 s,1,298.660,yolo11x,YOLO11 x,1,2464.097,,,,yolo11m,0.298350
204,641831511.jpg,both_correct,yolo11l,YOLO11 l,1,510.996,yolo11s,YOLO11 s,1,241.511,,,,yolo11m,0.299500
205,641865881.jpg,both_correct,yolo11s,YOLO11 s,1,250.075,yolov10m,YOLOv10 m,1,502.841,,,,yolo11m,0.290850
206,641895891.jpg,left,rfdetr-small,RF-DETR small,1,152.527,dino15-proxy,DINO 1.5 Pro proxy,0,0.000,yes,yolo11l,rfdetr-small,yolo11m,0.301150
207,641923702.jpg,left,yolov10l,YOLOv10 l,1,623.493,dino15-proxy,DINO 1.5 Pro proxy,0,0.000,depth_limit,,,yolo11m,0.292150
208,641878275.jpg,both_wrong,rtdetr-x,RT-DETR HGNetv2-X,0,2413.228,rtdetrv3-r18,RT-DETRv3 R18,0,1214.476,,,,yolo11m,0.293700
209,641859247.jpeg,left,yolo11m,YOLO11 m,1,393.908,rfdetr-nano,RF-DETR nano,0,147.224,yes,yolo11l,yolo11m,yolo11m,0.329850
210,641877799.jpeg,left,yolo26m,YOLO26 m,1,643.579,rtdetrv3-r101,RT-DETRv3 R101,0,2180.289,yes,yolo26m,yolo26s,yolo11m,0.326200
211,641895891.jpg,both_correct,yolo11l,YOLO11 l,1,538.772,rfdetr-small,RF-DETR small,1,157.210,,,,yolo11m,0.328100
